Column1,idTweet,fullText,polaridad
10,1.48E+18,"Boletín Oficial 372 

En cumplimiento al compromiso de ejecutar acciones de remediación en Zaruma, el presidente Guillermo Lasso, lideró una reunión de seguimiento.

 https://t.co/TKzOSqS6Pw https://t.co/2yw2deLFat",0
11,1.48E+18,Presidente Guillermo Lasso hace cambios al decreto de venta del avión presidencial ? https://t.co/txS85mFjdP https://t.co/XhUEmm19gQ,0
12,1.48E+18,"Durante evaluación de emergencia de #Zaruma, el Presidente Guillermo Lasso arremetió duramente contra el alcalde Jhansy López. ""Tiene 2 periodos como alcalde. Tiene en sus manos una decisión fundamental que no ha tomado en 6 años. Su labor deja mucho que desear"", le increpó Lasso https://t.co/QvnQJ9enTA",0
13,1.48E+18,"(VIDEO)https://t.co/e3jxvWiTsZ
DE MOMENTO
Leonidas Iza le responde a Guillermo Lasso || Pelea entre Gobierno y CONAIE.

El dirigente indígena le respondió al presidente ecuatoriano, quién en los últimos días hizo fuertes declaraciones en su contra.
#Ecuador #CONAIE https://t.co/0AKnZh4eoQ",0
14,1.48E+18,"@patynunezr1 @MashiRafael @RositaJara14 ESTOS GOBERNANTES LENIN MORENO Y GUILLERMO LASSO SON TAN PERVERSOS QUE PREFIEREN QUE SE DAÑEN LAS CASAS CONSTRUIDAS PARA LOS POBRES.Y NO DÁRSELAS A LAS FAMILIAS NECESITADAS,TIENEN SATISFACCIÓN  DE VERLAS DESTRUIDAS QUE DECIR ¡ LAS CONSTRUYÓ RAFAEL CORREA,PRESIDENTE",0
15,1.48E+18,"El presidente Guillermo Lasso firmó el Decreto Ejecutivo 311 por el cual modifica el Decreto 180 sobre el proceso de venta del avión presidencial Legacy EMB-135 BJ, emitido el 31 de agosto de 2021. https://t.co/p7pkcX2ViQ ? El Comercio https://t.co/uYGJgBBuIO",0
16,1.48E+18,"... Moni : ¡ no más RIDÍCULOS !
La acusación es errónea, 
Absurda, irresponsable.
Es gravísima tu insinuación,
al nuevo Canciller y al
Presidente Guillermo Lasso. 
¡ TENDRÁS QUE PROBARLO !
El resto vendrá pronto...
 ¡ OTRA PRUEBA EQUIVOCADA !...gravísimo 
lo ocurrido... https://t.co/3dMnWQRvSg",0
17,1.48E+18,"El presidente de la República, Guillermo Lasso, suscribió un decreto en el que se crea el ""Bono de Contingencia para las familias afectadas por eventos de origen natural"", que consiste en una transferencia monetaria correspondiente al 50% de la canasta familiar vital ($ 252,66). https://t.co/Tk6CiRKRlX",0
18,1.48E+18,"(VIDEO)https://t.co/JWn72POGDU
ATENCION
AVIÓN PRESIDENCIAL pasa a titulo gratuito || Fuerza aérea no logro vender la aeronave.
Luego de que el presidente Guillermo Lasso autorizara la venta del avión presidencial LEGACY 600, no hubo comprador por términos legales.
#Ecuador https://t.co/SUE39tf0Jt",0
19,1.48E+18,"#Nacionales | El Presidente de la República, Guillermo Lasso, durante una vídeo conferencia en horas de la tarde aseguró que Juan Zapata dio positivo a COVID-19.
Los detalles 
https://t.co/ltGLxUPLkH",0
20,1.48E+18,"#ATENCIÓN l Enfrentamiento entre el presidente Guillermo Lasso y el alcalde de Zaruma, Jhansy López, por la grave situación que atraviesa el cantón. ¿Quién tiene la culpa?  https://t.co/48IHAPLJGy https://t.co/o6Krbwn6eW",0
21,1.48E+18,No me dejaron replicar. Alcalde de Zaruma Jhansy López dice que no le dieron opción de responder la reprimenda del presidente Guillermo Lasso. Por eso aclara que sí denunció a tiempo la crisis por la minería en ese cantón. Y le exige a Lasso que cumpla con entrega de hospital. https://t.co/hCQH7CDps4,0
22,1.48E+18,El presidente Guillermo Lasso reprochó al alcalde Jhansy López por los socavones en Zaruma. El funcionario le respondió con una carta » https://t.co/KEduMCfJlD https://t.co/mmnP2nOUWr,0
23,1.48E+18,"Guillermo Lasso ‘cachorreó’ al alcalde de Zaruma por su gestión chimba. Jhansy López no atinaba que responder. Por otro lado, el presidente suscribió un decreto para ayudar a los damnificados. https://t.co/jPcw5PqarX",0
24,1.48E+18,"El presidente Guillermo Lasso ha tirado encima de Jhansy López, alcalde de Zaruma, todo el problema de la minería ilegal, en el marco de una reunión telemática que se llevó a cabo para evaluar las acciones gestionadas tras el socavón.",0
25,1.48E+18,"?SOLO 3.7% CALIFICA DE MUY BUENA LA GESTIÓN DE GUILLERMO LASSO??
#VEA
A través de encuesta realizada por Perfiles de Opinión, del 18 al 20 de diciembre 2021, en Quito, Guayaquil, Cuenca y Manta, califican la gestión del presidente #Lasso con el 59.07% de mala y muy mala. https://t.co/zDXlGqUIqA",-1
26,1.48E+18,"#Nacional | Por medio de la suscripción de un decreto, el presidente Guillermo Lasso dispuso la entrega monetaria a los habitantes de Zaruma, correspondiente a subsidios por desastre a las personas que califican dentro de las normas y reglamentos legales del país. 
#Zaruma https://t.co/Em8e6dWu2r",0
27,1.48E+18,"#LassoMentiroso dice lo que se promete se cumple, pero todos sus ofrecimientos aplican restricciones que son una burla para los ecuatorianos. No se trata de dádivas, sino de dar dignidad. Qué pena, de eso su gobierno no sabe nada presidente Guillermo Lasso. https://t.co/IylBTMcjjA",-1
28,1.48E+18,"El presidente Guillermo Lasso anunció mediante un decreto que se realizará la entrega de un bono de contingencia a las personas afectadas por el socavón en Zaruma.
-
Detalles: 
https://t.co/Iml4fOnvqr",0
29,1.48E+18,"Veo con asombro como actores políticos de diferentes sectores, hoy se atribuyen los logros del gobiernos nacional, de Guillermo Lasso, LATAM llega gracias a las gestiones del gobierno y sus autoridades, la vía Loja Catamayo será gracias al presidente",0
30,1.48E+18,@KELVINGAME3 Mano dura señor Presidente Guillermo Lasso con estos farsantes que no quieren la recuperación del País por su egoísmo los ecuatorianos queremos trabajar y trabajar para salir de esta crisis que nos afecta por la pandemia a nivel mundial no se diga nacional,1
31,1.48E+18,"Han pasado más de dos meses desde que el presidente Guillermo Lasso mencionó en una entrevista televisiva que existía un “triunvirato de la conspiración” para su gobierno, conformado por Rafael Correa, Jaime Nebot y Leonidas Iza.",0
32,1.48E+18,"Revista Vistazo 
Enfrentamiento entre el presidente Guillermo Lasso y el alcalde de Zaruma, Jhansy López, por la grave situación que atraviesa el cantón. ¿Quién tiene la culpa?  https://t.co/HmUzDTjctl
#LassoEsUnFracasso @LassoGuillermo https://t.co/DUrn0ULnqO",0
33,1.48E+18,"Boletín Oficial 368 

El presidente Guillermo  Lasso anunció que el año 2022 arranca con buenas noticias: inicia la entrega de créditos productivos al 1 % de interés con hasta 30 años plazo por parte de @BanEcuadorBP.

 https://t.co/OjseS5muJz

#JuntosCumplimos https://t.co/2WfbCMjmRk",0
34,1.48E+18,"Boletín Oficial 369 

Este miércoles 5 de enero, el presidente Guillermo Lasso liderará el lanzamiento de créditos productivos focalizados, al 1 % de interés anual a 30 años plazo. 

 https://t.co/hmuZMYZxzd

#JuntosCumplimos https://t.co/EYTeOgzgBk",0
35,1.48E+18,"El presidente de la República, Guillermo Lasso, justificó su ausencia en Zaruma para la reunión de evaluación de este jueves, debido a que el Gobernador de El Oro, el Vicepresidente del Ecuador y el presidente del COE Nacional (Juan Zapata) dieron positivo para Covid-19. https://t.co/XE2Lk8blt3",0
36,1.48E+18,"Boletín Oficial 367 

Con la finalidad de impulsar la política exterior del Gobierno con la consolidación de metas, el presidente Guillermo Lasso designó a Juan Carlos Holguín como ministro de Relaciones Exteriores y Movilidad Humana. 

 https://t.co/fDHJfFApAS https://t.co/KXST11gN3I",0
37,1.48E+18,"Boletín Oficial 370 

Una nueva promesa cumplida se cristaliza para los ecuatorianos. La mañana de este miércoles 5 de enero, el presidente de la República, Guillermo Lasso, anunció la entrega de los ‘#CréditoDeLasOportunidades’.

 https://t.co/7aYAvgJcan https://t.co/f8yGTwRjvr",0
38,1.48E+18,"#Política //El presidente Guillermo Lasso firmó el Decreto Ejecutivo 311 por el cual modifica el Decreto 180 sobre el proceso de venta del avión presidencial Legacy EMB-135 BJ, emitido el 31 de agosto de 2021.
Más detalles en el siguiente enlace:
https://t.co/3iZ5z7Qt4T https://t.co/G2JaX1z23s",0
39,1.48E+18,"ATENCIÓN: presidente Guillermo Lasso acaba de firmar el decreto Ejecutivo para la entrega de bonos por desastre, que asciende a $252, a los damnificados por el socavón en #Zaruma.",0
40,1.48E+18,@semarco @LassoGuillermo Yo si te creo y te apoyo Guillermo Lasso Presidente  https://t.co/dtLLRRJmsB,1
41,1.48E+18,#Tendencia Presidente Guillermo Lasso hace cambios al decreto de venta del avión presidencial ? Aquí las  #Noticias https://t.co/uqwx00dbTO https://t.co/YUXZD6nrO0,0
42,1.48E+18,#LoMasVisto Presidente Guillermo Lasso hace cambios al decreto de venta del avión presidencial ? https://t.co/Wgu5wJQzat https://t.co/BSyOM0dfmm,0
43,1.48E+18,"#MORENAINFORMA // El presidente de la República, Guillermo Lasso, firmó el Decreto Ejecutivo para que a través del Ministerio de Inclusión Económica y Social (MIES), se entregue el bono de contingencia a familias afectadas por el socavón en el cantón Zaruma https://t.co/FRJaI51h2M",0
44,1.48E+18,#NoticiaDelDia Presidente Guillermo Lasso hace cambios al decreto de venta del avión presidencial ? https://t.co/JqbLZ62Gvg https://t.co/bdw9xf3HQ0,0
45,1.48E+18,"El presidente de la Conaie, @LeonidasIzaSal1, respondió al primer mandatario, Guillermo Lasso, quien, en días anteriores lo llamó enemigo de la democracia y lo acusó de querer desestabilizar al país. Informa @adribermeo 
https://t.co/15q12tVgfo",0
46,1.48E+18,"#Ecuador  PRESIDENTE TRANSFIERE GRATUITAMENTE EL AVIÓN PRESIDENCIAL El avión presidencial Legacy, comprado en el Gobierno de Rafael Correa, fue entregado a título gratuito, a la Secretaría de Gestión Inmobiliaria del Sector Público. Presidente Guillermo Lasso firmó el Decreto https://t.co/hlCfsAR8hA",0
47,1.48E+18,"Guillermo Lasso. Otros confirmados Presidente de Francia Emmanuel Macron, y al Presidente de Irlanda, Michael D. Higgins..esos hasta ahora,  desde Estados Unidos la vicepresidenta Kamala Harris.",-1
48,1.48E+18,"El presidente de la República, Guillermo Lasso, envió la terna para la designación de la máxima autoridad de la Superintendencia de Compañías, Valores y Seguros. 

@LassoGuillermo 
@Presidencia_Ec
@ComunicacionEc https://t.co/Vb6YCDRmRr",0
49,1.48E+18,"El presidente de la República, Guillermo Lasso, envió la terna para la designación de la máxima autoridad de la Superintendencia de Compañías, Valores y Seguros. 

@LassoGuillermo 
@Presidencia_Ec
@ComunicacionEc https://t.co/vKiD4lOKhN",0
50,1.48E+18,Juan Zapata hará aislamiento voluntario ante confirmación de casos de COVID-19; en la Asamblea Nacional suman 128 contagios ? https://t.co/BASbW007zN https://t.co/RVsjsJ7KcI,0
51,1.48E+18,"Buenas tardes compañeros/as

Que tengan una linda tarde

Me permito socializar lo siguiente:

CARTA ABIERTA DE  RESPALDO  AL INGENIERO LEONIDAS IZA, PRESIDENTE DE LA CONAIE, ANTE LAS AMENAZAS QUE RECIBIÓ  POR PARTE DEL GOBIERNO  DE GUILLERMO LASSO https://t.co/n3gNdAmGAm",0
52,1.48E+18,"Video en el siguiente enlace 
https://t.co/M2hVzwZeRZ",0
53,1.48E+18,"Leonidas Iza, presidente de la Conaie, le respondió a Guillermo Lasso, quien en días pasados lo llamó enemigo de la democracia y lo acusó de buscar desestabilizar al país. #NoticiasNacionales #Quito Cortesía UCSG (Canal - aliado) https://t.co/PTiAyXmalB",0
54,1.48E+18,"Y ahora la perla del día...JM: Papi no me gusta el Presidente Guillermo Lasso...Papá: porque hijo?...JM: Dice tonteras, me gustaba más el anterior el de la silla de ruedas porque era más chistoso PLOP!!!! José Martin, 7 años    #parecechisteperoesanecdota",0
55,1.48E+18,"@Polificcion La siguiente pregunta es clara y contundente, porqué Guillermo Lasso con tantos millones su ambición era llegar ser presidente?",0
56,1.48E+18,"#OFICIAL  el presidente de la República, Guillermo Lasso, envió la terna para la designación de la máxima autoridad de la Superintendencia de Compañías, Valores y Seguros. https://t.co/0ghkkdt46r",0
57,1.48E+18,"? Marco López, María García y Esteban Coello son los nombres de la terna que el presidente Guillermo Lasso propone para el nuevo Superintendente de Compañías. https://t.co/zXLkLoDbBB",0
58,1.48E+18,"Presidente Guillermo Lasso, dispuso que el Ministerio de Inclusion Social, entregue el bono de contingencia a familias afectadas por el socavón en Zaruma. https://t.co/vaOJ21a6pR",0
59,1.48E+18,"El presidente Guillermo Lasso responsabilizo al alcalde de Zaruma, Jonshy Sanchez, del problema que está vivíedo el canton el primer mandatario señaló que el burgomaestre lleva 6 años de gestión y no logró prevenir un desastre como el socavón. “Su labor deja mucho que desear”. https://t.co/nVDEvEYx7W",0
60,1.48E+18,"Alcalde de Zaruma, Johnsy López, emite comunicado manifestando que el presidente Guillermo Lasso hecha sobre sus hombro el problema de los socavones que esta afectando a Zaruma. https://t.co/BXlEYCn4b0",0
61,1.48E+18,"Grupos sociales y sindicales de #Ecuador creen que las políticas del presidente Guillermo Lasso incurren en la ""violencia"" contra la ciudadanía, mientras preparan su próxima #protesta popular para el 19 de enero. 

#LaPrensaInforma https://t.co/FHjQOew6lt",0
62,1.48E+18,"@Micc_Ec Y así la CONAIE-Pachakutik le dieron votos al banquero evasor y criminal de Guillermo Lasso con su ""Nulo Ideológico"", sabiendo muy bien que al final, ya de presidente, los traicionaría, porque ni conoce la vida campesina y su cultura ancestral, ni le importa el pueblo ecuatoriano",-1
63,1.48E+18,"Alcalde del Cantón Zaruma Ing. Jansy López, le responde duramente al Presidente Guillermo Lasso, mañana en @radio_gaviota en su noticiero analizaremos, síguenos por Facebook https://t.co/VFtIEEUoYn",0
64,1.48E+18,"De lejos, nomás. El Presidente Guillermo Lasso suspende sus actividades presenciales por precaución ante el #Covid19 y su agenda la desarrollará de manera virtual. Suspendió la visita que tenía programada para hoy a #Zaruma. https://t.co/NUWvXUh7FP",0
65,1.48E+18,"A través del decreto 316, el presidente Guillermo Lasso dispuso la entrega de un bono por desastres a 93 familias damnificadas por el socavón en Zaruma, que dejó tres viviendas destruidas y 49 en riesgo.",0
66,1.48E+18,"@ComunicacionEc Yo también quiero para la extracción de miel de abeja  si me darán pero no tengo la libreta de banecuador, gracias sr.presidente Guillermo Lasso     ",1
67,1.48E+18,"El presidente Guillermo Lasso oficializó la entrega de bonos a los damnificados en Zaruma. El mandatario hizo un llamado de atención al alcalde Jhansy López, porque en sus seis años de administración no ha delimitado el territorio urbano en el cantón. #NoticiasNacionales #Quito https://t.co/2Ph0q30csB",0
68,1.48E+18,“Su labor deja mucho que desear…teniendo 6 años en la alcaldía…” le dijo el presidente Guillermo Lasso al alcalde de Zaruma Jhansy López en la reunión que se lleva a cabo este momento para evaluar la situación de minería en el sitio.,0
69,1.48E+18,"Presidente Guillermo Lasso si quiere Gobernar en paz,de todos los Ministerios y del Seguro Social,tiene que mandar sacando a los Correistas,son Problemáticos y tienen la mentalidad solo de robar como su ( Jefe el Enfermo Mental ) que Gobernó 10 años y no hizo nada y solo robó.",0
70,1.48E+18,@tinocotania Esto es la plaga del Moreno Lasso LADRONASSO así comesaron a destruir al ecuador  medio la PRENSA NESFASTA MENTIROSA ASI NOS DESTRUYERON A LOS ECUATORIANOS    así lo siguen destruyendo  a mi país,-1
71,1.48E+18,"LADRONASSO Y LA PRECARIZACION EN LA SALUD, FUERA LASSO FUERA. https://t.co/vyt4H0Y4cv",-1
72,1.48E+18,"LADRONASSO Y LA PRECARIZACION EN LA SALUD EDUCACION, FUERA LASSO FUERA. https://t.co/U3SjgSZM59",-1
73,1.48E+18,"LADRONASSO Y LA PRECARIZACION EN LA SALUD, FUERA LASSO FUERA. https://t.co/FMElhXOLPd",-1
74,1.48E+18,"LADRONASSO Y LA PRECARIZACION EN LA SALUD, FUERA LASSO FUERA. https://t.co/S0OAKEXiqe",-1
75,1.48E+18,"PERIODISMO DE CUOTAS Lasso asegura apoyo a cambio de puestos. Sistema de... https://t.co/HpZLBcylgd a través de @YouTube LADRONASSO Y LA PRECARIZACION EN LA SALUD, FUERA LASSO FUERA.",-1
76,1.48E+18,RAPOSSA LASSO #LADRONASSO #LassoMentiroso https://t.co/gkr5RDvT9x https://t.co/oWQ02PiXBg,-1
77,1.48E+18,"@LeonidasIzaSal1 Total apoyo a Leonidas Iza y la Conaie en Quito, tenemos que sacar a la basura Lasso ladronasso",-1
78,1.48E+18,Y porque no comienzas dándolos créditos en tu banco de Guayaquil ladronasso y aci te creeremos un poco lasso eres ladronasso. #JuntosCumplimos,-1
79,1.48E+18,"@wilfridolaz @LassoGuillermo ¡Algo hay que hacer Y URGENTE.   LADRONASSO PANDORASSO, NO SABE COMO GOBERNAR, NO ES PRESIDENTE DE ECUADOR.  FUERA LASSO FUERA, FUERA!!",-1
80,1.48E+18,@ErmelRosario El ladrón más protegido por la mayoría de la prensa corrupta es ladronasso LASSO ES LADRÓN,-1
81,1.48E+18,"EL LADRONASSO LASSO VA HA QUEBRAR AL BANCO DEL PACIFICO, COMO LO HIZO EN 1994 AL BANCO CONTINENTAL, SOLO ESTA ROBANDOSE LO QUE MÁS PUEDA ANTES QUE LLEGUE ENERO 2022 Y LO SAQUEMOS A PATADAS DE PAÍS https://t.co/swcR7loXVi",-1
82,1.48E+18,"@DiazYJose EL LADRONASSO LASSO VA HA QUEBRAR AL BANCO DEL PACIFICO, COMO LO HIZO EN 1994 AL BANCO CONTINENTAL, SOLO ESTA ROBANDOSE LO QUE MÁS PUEDA ANTES QUE LLEGUE ENERO 2022 Y LO SAQUEMOS A PATADAS DE PAÍS",-1
83,1.48E+18,"EL PANDORASSO LADRONASSO DE LASSO LO ESTA QUEBRANDO AL BANCO DEL PACIFICO, SE ESTA ROBANDO AL BANCO

LASSO #LassoEsUnFracasso https://t.co/mLqyRAiqnt",-1
84,1.48E+18,"EL PANDORASSO LADRONASSO DE LASSO LO ESTA QUEBRANDO AL BANCO DEL PACIFICO, SE ESTA ROBANDO AL BANCO

LASSO #LassoEsUnFracasso https://t.co/685pMf8pgY",-1
85,1.48E+18,"@jlaloca001 @alegriasc50 @LassoGuillermo PACTO DE PILLOS LASSO Y CORREA UNES NO APROBO EL ARCHIVO DE LA LEY  DEL LADRONASSO LASSO EN CONTRA DEL PUEBLO ECUATIORIANO, ENTENDISTE LOCAAAAAA O ERES BIEN DEL TODO https://t.co/iNTqjiXFT9",-1
86,1.48E+18,"@gabiramirez @mandradele @EcuavisaInforma @MarcoAnibal @jcarlosaizprua @LeninArtieda @LassoGuillermo @MetroEcuador las encuentas evaluan la gestion del presidente @lassoguillermo , Siempre es positivo ver gente buena en acción!  
Lo que se dice se hace y lo que se promete se cumple, Guillermo Lasso sube @LassoGuillermo @simoncueva @notimundoec",0
87,1.48E+18,"La empresa Perfiles de Opinión publica la encuesta sobre la calificación de la gestión de Guillermo Lasso, presidente del Ecuador. En #Cuenca de 1.238 entrevistas el 50,63% cree que la gestión de Lasso es mala; el 11,15% muy mala; el 32,46% buena y el 3,19% muy buena. https://t.co/lXWdMOUk3W",-1
88,1.48E+18,"La empresa Perfiles de Opinión publica la encuesta sobre la calificación de la gestión de Guillermo Lasso, presidente del Ecuador. En #Cuenca de 1.238 entrevistas el 50,63% cree que la gestión de Lasso es mala; el 11,15% muy mala; el 32,46% buena y el 3,19% muy buena.

#URGENTE https://t.co/FD5ouVkHNC",-1
89,1.48E+18,"@ped_rodr @InesRViv @Martinminguchi @LassoGuillermo @DonosoEcuador @simoncueva Su buena gestión le ha dado estos méritos, Guillermo Lasso sube trabajando por un mejor mañana lleno de igualdad para todos los ecuatorianos @juanflores18 @4pelagatos4 @LassoGuillermo",1
90,1.48E+18,@MatematicoArcos Que pena ver cómo estos medios se prestan para dar favoritismo a quienes siempre han hecho lo imposible por sabotear la buena gestión de @LassoGuillermo sin embargo Guillermo Lasso sube cumpliendo las promesas con acciones en pro de su pueblo @RorkaUFO @notimundoec https://t.co/FztGi9kftU,1
91,1.48E+18,"@AP_Kost Yo voté por @LassoGuillermo y ha sido la mejor decisión, cada vez que veo un avance en el país ratifico mi apoyo hacia el Presidente. Por eso es que Guillermo Lasso sube, su gestión es buena. @AlexandraVelaP @ABorreroVega",0
92,1.48E+18,"@ComunicacionEc @LassoGuillermo @BanEcuadorBP No me cabe la menor duda de la buena gestión que hace nuestro presidente,Guillermo Lasso Sube, y con el la economía, los créditos... mil gracias @GuillermoLasso @juanflores18",1
93,1.48E+18,"@mandradele @EcuavisaInforma @MarcoAnibal @jcarlosaizprua @LeninArtieda Cifras manipuladas, encuestas que buscan favorecer aquellos que siempre han estado para dañar la buena gestión de @LassoGuillermo pero pese a las falsas aseveraciones Guillermo Lasso sube y el pueblo que lo eligió para el cambio lo sigue apoyando @CarPonce11 @tctelevision",1
94,1.48E+18,"@InesRViv @Martinminguchi @LassoGuillermo @DonosoEcuador Su trabajo y dedicación por hacer surgir a su país lo enaltece y le da la credibilidad suficiente por la que su pueblo desde un inicio lo eligió para el cambio, Guillermo Lasso sube por su buena gestión @LassoGuillermo @CancilleriaEc @tctelevision https://t.co/IVxMsD7vRt",1
95,1.48E+18,"#Ecuador/ De acuerdo a una encuesta realizada por Perfiles de Opinión sobre la gestión del Sr. Guillermo Lasso de Mayo a Diciembre, se indica que el 34, 03 califica de buena,  el 45.78 de mala y el 3,75% de muy buena. 

#Enero2022 #JJStereo #GuillermoLasso https://t.co/aXPQmw7IB8",-1
96,1.48E+18,"@fsanchez397 @LassoGuillermo @BanEcuadorBP Vergüenza debería darle por sus malas palabras. Que falta de respeto la suya al dirigirse a nuestro gran gobernante @LassoGuillermo el presidente Guillermo lasso que ha hecho esfuerzos por ayudarnos a salir adelante @CesarRohon
@CuenteroMuisne",-1
97,1.48E+18,"""El señor Iza es un hombre violento que quiere tumbar la democracia... esa es la gran amenaza que tiene el Ecuador: los actos violentos del señor Iza"", afirma el presidente Guillermo Lasso en una entrevista concedida desde Carondelet a dos periodistas de radio.",0
98,1.48E+18,"@marveintimilla @DonosoEcuador
@JuanFlores18  el país esta viviendo un gran cambio con nuestro presidente  gracias por su lucha constante Presidente @LassoGuillermo continue asi  Guillermo Lasso sube @Teleamazonas",0
99,1.48E+18,"@Alejand01209494 @LassoGuillermo @Edu_Bonilla es grandioso que se esté reconociendo el buen trabajo y norte a un gran futuro del presidente, gracias a su gran trabajo. Es una persona cumplidor de promesas. Guillermo Lasso sube @Ecuavisa https://t.co/X08v8mJbPI",1
100,1.48E+18,@demasiadohumanx @AparicioCaicedo @gabrielboric El Presidente @LassoGuillermo ha demostrado que tiene un gran compromiso con Ecuador y a diferencia de gobiernos anteriores este si cumple lo que promete! Guillermo Lasso sube! @DonosoEcuador,0
101,1.48E+18,"@Lauragonza0 @Selenavelasq2 @Vicky_goz @DiegoPilaquing2 @LassoGuillermo @TvlEcuador @aro_rojas @Martinminguchi @MMontalvoEC @AlexandraVelaP @ABorreroVega Bien presidente @LassoGuillermo. Lo felicito por su gran trabajo, es aceptado, respetado y muy querido por todo el país. @Martinminguchi @MMontalvoEC Guillermo Lasso sube y se mantiene en la cima. https://t.co/QwSuBBXmmC",1
102,1.48E+18,"El presidente Guillermo Lasso entregó a Mauricio Montalvo la Condecoración de la Orden Nacional al Mérito en el Grado de Gran Cruz.
Montalvo deja su cargo como canciller y será Embajador ante la OEA. #Noticiasi99",0
103,1.48E+18,Un gran recordatorio para el corrupto Ladrón Presidente de Ecuador Guillermo Lasso ¡¡¡ Debe dar un paso al costado antes de ir a PRISION !!! https://t.co/oTRqgUphYW,-1
104,1.48E+18,"Que gran nombramiento el que acaba de anunciar el Presidente Guillermo Lasso. @juancaholguin es el flamante Canciller de la República, éxitos Juan Carlos, estoy seguro que harás una gran labor",0
105,1.48E+18,@LassoGuillermo Señor Presidente Guillermo Lasso Saludandole y Deseándole que tenga un Excelente 2022 junto a toda su Familia y a su Vez Pidiendole a Dios que lo Bendiga en todo momento por Tener un Gran Corazón en Ayudar a la Gente con Problemas y por tener un Gran Presidente,0
106,1.48E+18,"Feliz día de reyes, especialmente para ti que eres el rey de los p3nd3jos y gritabas a todo pulmón La$$o Presidente ... !!!  #LassoMentiroso #LassoEsUnFracasso",-1
107,1.48E+18,"#LassoMentiroso
El gobierno del encuentro está estrellado.
Sres de Radio cristal dejen de alabar mucho a su amo Lasso.
Ustedes escuchan al pueblo a diario y no hay mejora por ningún lado.
No caigan en la mentira y en la rencilla del odio.
@rcristal870AM",-1
108,1.48E+18,"Todos sabemos que quieren privatizar la salud (IESS), pero poner en juego la muerte y la falta de medicinas para ""justificarlo"" es maquiavelico, eso no se hace.
#Lasso #LassoMentiroso",-1
109,1.48E+18," .....
#LassoEsUnFracasso #LassoMentiroso https://t.co/x8UZFJs495",-1
110,1.48E+18,"Definitivamente nos gobiernan unos #teletubbies !! 

En que realidad viven? 
Nos creen bobos? 
O es para que justificar la falta de medicina en los hospitales públicos? 

#LassoMentiroso #LassoEsUnFracasso #OmicronVariant #GobiernoDelEncuentro https://t.co/YoRUmSCAKu",-1
111,1.48E+18,"PIP Camera Create the collage frame photo instantly by just a one TAP using PIP Photo Collage Creator. 
#Link to download :: https://t.co/gbssnJFDFC 

#LassoMentiroso
#ostbyjungkook 
#PasseVaccinalDeLaHonte 
#jeudiphoto
#epiphanie
#NonVaccinés https://t.co/GfxsJMj3Rl",-1
